ID,n_points,yD_bary,yB_bary,chi2_red_bary,wrms_bary_kms,yD_halo,yB_halo,vinf_kms,rc_kpc,chi2_red_halo,wrms_halo_kms,wrms_improvement_kms
NGC7793,46,1.0276408616345176,0.0,2.5719008431003862,11.21799684672942,0.7734677992275705,0.0,93.88079215325425,2.4160100144562136,0.7892807170010885,6.127968326614992,5.090028520114428
NGC7814,18,1.9999999999999687,1.142142826954946,66.3653174875452,50.16815608077384,0.6670388655428716,0.5627019124771953,201.48745202982943,2.2587920532785075,0.35792149316153626,2.2510523572046264,47.91710372356921
PGC51017,6,0.6407272600864452,0.0,1.387510322451639,4.31999497230241,0.6407272639277828,0.0,0.10007306910558698,274.9813332475889,2.3125172060893537,4.319994965059029,7.243381006105665e-09
UGC00128,22,1.9999999999999998,0.0,2520.7780569442634,51.09763085648723,0.7129015272794018,0.0,126.5638399357656,2.970468643610847,3.311920562633242,2.365261992561009,48.73236886392622
UGC00191,9,1.9999999999999998,0.0,222.1433346587063,13.252417299819571,0.3108346792746997,0.0,79.3196440725303,0.9344792361626862,1.517391440380843,3.6160107436087188,9.636406556210853
UGC00634,4,1.9999999999999998,0.0,1041.9630671602488,38.95164152096892,0.016500555664937015,0.0,119.60803312652097,3.032549541340399,2.862849451897202,2.2289647089709472,36.72267681199797
UGC00731,12,1.9999999999998308,0.0,155.07213178823613,32.74622475464949,1.9999999999999998,0.0,68.81396379144213,1.1746021622897036,0.14146595174121487,0.9297751466519756,31.816449607997512
UGC00891,5,1.9999999999999998,0.0,1259.353851995796,21.060905351890273,1.0144076015937215e-13,0.0,82.86035851281889,2.8941757182838734,0.13553378923574658,0.2806616899552376,20.780243661935035
UGC01230,11,1.9999999999995037,0.0,7.949524130724271,29.598844657324555,1.878224516822288,0.0,90.41295903723619,2.6346307995091123,0.5885707767153738,7.028152670793739,22.570691986530818
UGC01281,25,1.9999999999999927,0.0,9.829939526703905,13.34079174397641,5.293811866252539e-13,0.0,77.10010889304114,1.9320508110434538,0.2339351098699203,1.9705654498085234,11.370226294167887
UGC02023,5,1.3326317062919102,0.0,0.9447153230223688,7.554665673867481,0.27216027918802643,0.0,499.99999999999994,20.976807200296463,0.01943288647932647,0.7661581556471132,6.788507518220368
UGC02259,8,1.999999999999903,0.0,196.24366493547586,25.62005406692127,0.3759731619055615,0.0,85.83268020677119,0.5764730956146086,0.5687502671929132,1.2432317433202922,24.376822323600976
UGC02455,8,0.21172122797088813,0.0,6.926968519555344,8.961423817374833,0.07469528621485459,0.0,499.99999999999824,24.864489987875043,0.7072135214205785,2.420007266700621,6.541416550674212
UGC02487,17,1.9999999999999998,1.9999999999999998,212.93172467880493,64.80682678503503,1.5871775289044832,0.4365616916422274,290.9675746638932,15.27352691072281,3.8606154402733512,10.782744200987228,54.024082584047804
