xi,gamma,g_couple,seed,phi_mean_final,E_mean_final,phi_var_final,roughness_final,coherence_final,status_final
0.02,0.15,0.0,4,1.009862640932118,1.0050073451287447,5.639698160870325e-08,0.0004434010736489069,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.15,0.0,0,1.0193350319397645,1.0098398276534128,4.068591053754825e-08,0.0002891325289746588,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.15,0.0,1,1.0193252694962167,1.0098089827186874,3.744223399209565e-08,0.0002844824760615542,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.15,0.0,2,1.0193349923403292,1.0098340441552218,4.3217439856297456e-08,0.00029576927399445124,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.15,0.0,3,1.0193365537952,1.009859114683727,3.72238762946604e-08,0.0002807916038842492,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.15,0.0,4,1.0193438598517301,1.009847762012103,2.977234922211807e-08,0.00027841557186335404,1.0,JHANA_ATTRACTOR_REACHED
0.0,0.2,0.0,0,-0.9999485432649617,1.0000094747054415,6.689349010677973e-07,0.0014987250108593766,0.0,PARTIAL_ALIGNMENT
0.0,0.2,0.0,1,-0.31169116745126346,-0.03216646103821619,0.8172788469867479,0.12783249374950922,0.0,DOMAIN_COARSENING
0.0,0.2,0.0,2,-0.1080199863783523,1.0000316880183793,0.9029493780356509,0.0655267684005841,0.0,DOMAIN_COARSENING
0.0,0.2,0.0,3,-0.9055051123644893,1.0000312480490876,0.1510459627650446,0.03350303639895676,0.0,PARTIAL_ALIGNMENT
0.0,0.2,0.0,4,1.0007284231097247,-0.9218114228608919,0.00020926221749459622,0.034049369039710925,0.9780634990129321,JHANA_ATTRACTOR_REACHED
0.005,0.2,0.0,0,1.0024909905195079,1.0012453211623016,1.1219132520884277e-07,0.0004753035543258216,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.2,0.0,1,1.0025161150182358,1.0014673570127428,5.217702651512455e-08,0.0016724425429879954,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.2,0.0,2,1.002463312018497,1.0012394572082481,1.8523255083973e-07,0.0006459307683652466,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.2,0.0,3,1.0024892512768382,1.0012853237348536,6.3182210446089604e-09,0.0004565029568609633,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.2,0.0,4,1.002475967251676,1.001281902897071,4.091590392045302e-08,0.002032692428993674,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.2,0.0,0,1.0049715487770727,1.0024903063673987,7.89356960167572e-10,7.96392141260982e-05,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.2,0.0,1,1.004966023052697,1.0025057321240851,3.3631826470185557e-09,0.00023696466846307059,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.2,0.0,2,1.0049693913210136,1.0024857199510786,8.83818729880089e-10,0.00012952661954440702,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.2,0.0,3,1.0049708256721166,1.0025012945587197,1.3566586560853454e-09,0.00012835455506731818,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.2,0.0,4,1.0049725942189087,1.0024903869643866,7.952313986844905e-10,0.00011960072994913931,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.2,0.0,0,1.009852293809863,1.0049727622628453,4.301438786430794e-10,3.7383103935967246e-05,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.2,0.0,1,1.0098513207517694,1.0049747455172238,4.495716364772137e-10,4.868361997874889e-05,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.2,0.0,2,1.0098506344810683,1.004971902249717,4.681869234974172e-10,4.142186487088935e-05,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.2,0.0,3,1.0098496311054321,1.0049712655844942,3.8445221914172393e-10,3.6492125560398507e-05,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.2,0.0,4,1.0098502533363143,1.0049702015471333,4.190554795702222e-10,4.3814156359853e-05,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.2,0.0,0,1.0194290745833108,1.009848897634179,2.0307848032346628e-10,2.1389850967531597e-05,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.2,0.0,1,1.0194294718590815,1.0098483847496773,1.6929667393213976e-10,2.2769306354652e-05,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.2,0.0,2,1.0194299920283176,1.0098502705855175,2.0291836364029459e-10,2.330576500241216e-05,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.2,0.0,3,1.01943124205656,1.0098505571352452,1.5731485257900558e-10,2.0388940698860044e-05,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.2,0.0,4,1.0194316638995626,1.0098513025705655,1.747961092241251e-10,2.1380805769804492e-05,1.0,JHANA_ATTRACTOR_REACHED
0.0,0.02,0.1,0,-1.0316250098792492,-1.0332368561487137,0.013727679172797505,0.39718247289061803,0.0,PARTIAL_ALIGNMENT
0.0,0.02,0.1,1,-1.0258827112483493,-1.0337815221002549,0.014382177780267437,0.36034504413786983,0.0,PARTIAL_ALIGNMENT
0.0,0.02,0.1,2,-0.0900983816498393,-0.07973845244415956,0.9711312766814777,0.43523619806007263,0.0,DOMAIN_COARSENING
0.0,0.02,0.1,3,1.0273139861065164,1.0372418895345614,0.013285422659856952,0.3827093755066678,0.7854665623972774,PARTIAL_ALIGNMENT
0.0,0.02,0.1,4,1.0211809478243932,1.0228801342422935,0.015997725283512936,0.3823052285383022,0.7788723362769736,PARTIAL_ALIGNMENT
0.005,0.02,0.1,0,1.0412616407147843,1.0269791842745017,0.01482052515800869,0.327427928148745,0.8247518575678625,PARTIAL_ALIGNMENT
0.005,0.02,0.1,1,1.022260448243417,1.021589154297823,0.014701142614040959,0.3336947218534039,0.806422089363791,PARTIAL_ALIGNMENT
